,retry,rate
0,1.784331049980203,0.0036033602015583207
1,1.7949646794613598,0.0024767784230253984
2,1.804993997104389,0.002009508841946302
3,1.8246730427676539,0.0016357071654490715
4,1.8747781686308012,0.0012984113666922967
5,1.9047766840148996,0.0008400312797474629
6,1.9623211440063038,0.0007537766094414215
7,1.9849073796067578,0.00026168919647366514
8,2.004687402182218,0.0002197688681827311
9,2.0249997006291065,0.00016562675051415526
10,2.0349591016717814,0.00011380101784279104
11,2.0548552654474364,7.509776795867472e-05
12,2.074888003147788,5.7716122139560436e-05
13,2.0847489799565593,3.5843089212393124e-05
14,2.0949304383428156,3.0362874308121596e-05
15,2.1043494095092443,2.712506388857416e-05
16,2.124862261116079,2.364227994830805e-05
17,2.1347054035617496,1.6086072568539565e-05
18,2.1437521080653346,1.2342652762186165e-05
19,2.153482466107263,1.0767412330536314e-05
20,2.164597331820355,9.57726089463916e-06
21,2.173281480793155,8.586635130613755e-06
22,2.1918609947884087,7.41835353686137e-06
23,2.2148043870645964,6.3055480899729066e-06
24,2.224117669667634,5.351227113220327e-06
25,2.2331276764174772,4.201629723179484e-06
26,2.244587806392338,3.176091746045158e-06
27,2.2537758605707876,2.838630696388907e-06
28,2.2646003195742828,2.4842665505729882e-06
29,2.2828289047723356,2.1241722958906584e-06
30,2.291815241945302,1.9010607431936282e-06
31,2.3395142692052024,1.6481878026550652e-06
32,2.377888160667245,1.470723827372691e-06
33,2.412286686976223,1.2966040942497197e-06
34,2.4789192367257447,1.1650920412611001e-06
35,2.7246667754671523,1.0462720417793865e-06
